"name","country","position","date_of_birth","age","caps","goals_conceded","senior_debut_date","senior_debut_match","senior_debut_match_location","last_appearance_date","last_appearance_match","last_appearance_location","club","league","height","weight","id","team_id","detailed_position","goals"
"Gordon Schildenfeld","Croatia","Defender",1985-03-18,31,29,NA,2009-11-14,"Croatia 5-0 Liechtenstein","Vinkovci",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Dinamo Zagreb","CRO",191,89,"1903908","56370","Central defender",1
"Domagoj Vida","Croatia","Defender",1989-04-29,27,40,NA,2010-05-23,"Croatia 2-0 Wales","Osijek",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Dynamo Kyiv","UKR",184,73,"108567","56370","Full-back",1
"Ivan Perišić","Croatia","Midfield",1989-02-02,27,49,NA,2011-03-26,"Georgia 1-0 Croatia","Tbilisi",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Internazionale","ITA",187,80,"103310","56370","Winger",14
"Ivan Rakitić","Croatia","Midfield",1988-03-10,28,77,NA,2007-09-08,"Croatia 2-0 Estonia","Zagreb",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Barcelona","ESP",184,78,"97744","56370","Central midfielder",12
"Mateo Kovačić","Croatia","Midfield",1994-05-06,22,28,NA,2013-03-22,"Croatia 2-0 Serbia","Zagreb",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Real Madrid","ESP",178,77,"250023551","56370","Attacking midfielder",1
"Luka Modrić","Croatia","Midfield",1985-09-09,30,91,NA,2006-03-01,"Croatia 3-2 Argentina","Basel",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Real Madrid","ESP",174,65,"74699","56370","Central midfielder",11
"Marcelo Brozović","Croatia","Midfield",1992-11-16,23,19,NA,2014-06-07,"Croatia 1-0 Australia","Salvador De Bahia",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Internazionale","ITA",181,68,"250040564","56370","Defensive midfielder",4
"Marko Rog","Croatia","Midfield",1995-07-19,20,3,NA,2014-11-12,"Croatia 1-2 Argentina","London",2016-06-04,"Croatia 10-0 San Marino","Rijeka","Dinamo Zagreb","CRO",180,73,"250071671","56370","Central midfielder",0
"Ante Ćorić","Croatia","Midfield",1997-04-14,19,2,NA,2016-05-27,"Croatia 1-0 Moldova","Koprivnica",2016-06-04,"Croatia 10-0 San Marino","Rijeka","Dinamo Zagreb","CRO",172,78,"250066128","56370","Attacking midfielder",0
"Milan Badelj","Croatia","Midfield",1989-02-25,27,22,NA,2010-05-23,"Croatia 2-0 Wales","Osijek",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Fiorentina","ITA",186,76,"97206","56370","Defensive midfielder",1
"Andrej Kramarić","Croatia","Forward",1991-06-19,25,12,NA,2014-09-04,"Croatia 2-0 Cyprus",NA,2016-06-12,"Turkey 0-1 Croatia","Paris","Hoffenheim","GER",177,70,"1906416","56370","Forward",4
"Nikola Kalinić","Croatia","Forward",1988-01-05,28,29,NA,2008-05-24,"Croatia 1-0 Moldova","Rijeka",2016-06-04,"Croatia 10-0 San Marino","Rijeka","Fiorentina","ITA",187,80,"97212","56370","Forward",11
"Mario Mandžukić","Croatia","Forward",1986-05-21,30,67,NA,2007-11-17,"FYR Macedonia 2-0 Croatia","Skopje",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Juventus","ITA",190,85,"99350","56370","Forward",24
"Marko Pjaca","Croatia","Forward",1995-05-06,21,9,NA,2014-09-04,"Croatia 2-0 Cyprus",NA,2016-06-12,"Turkey 0-1 Croatia","Paris","Dinamo Zagreb","CRO",186,81,"250042632","56370","Winger",1
"Duje Čop","Croatia","Forward",1990-02-01,26,4,NA,2014-09-04,"Croatia 2-0 Cyprus",NA,2016-05-27,"Croatia 1-0 Moldova","Koprivnica","Málaga","ESP",184,73,"250000061","56370","Forward",0
"Petr Čech","Czech Republic","Goalkeeper",1982-05-20,34,123,101,2002-02-12,"Czech Republic 2-0 Hungary","Larnaca",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Arsenal","ENG",196,90,"49029","58837","Goalkeeper",NA
"Tomáš Vaclík","Czech Republic","Goalkeeper",1989-03-29,27,6,6,2012-11-14,"Czech Republic 3-0 Slovakia",NA,2016-03-29,"Sweden 1-1 Czech Republic","Solna","Basel","SUI",188,85,"250000898","58837","Goalkeeper",NA
"Tomáš Koubek","Czech Republic","Goalkeeper",1992-08-26,23,2,1,2016-03-24,"Czech Republic 0-1 Scotland","Prague",2016-05-27,"Czech Republic 6-0 Malta","Kufstein","Liberec","CZE",198,95,"250023590","58837","Goalkeeper",NA
"Pavel Kadeřábek","Czech Republic","Defender",1992-04-25,24,20,NA,2014-05-21,"Finland 2-2 Czech Republic","Helsinki",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Hoffenheim","GER",182,81,"250004178","58837","Full-back",2
"Michal Kadlec","Czech Republic","Defender",1984-12-13,31,65,NA,2007-11-17,"Czech Republic 3-1 Slovakia","Prague",2016-06-05,"Czech Republic 1-2 Korea Republic","Prague","Fenerbahçe","TUR",185,76,"70227","58837","Central defender",8
"Theodor Gebre Selassie","Czech Republic","Defender",1986-12-24,29,37,NA,2011-06-04,"Czech Republic 0-0 Peru",NA,2016-06-13,"Spain 1-0 Czech Republic","Toulouse","Bremen","GER",181,71,"1906131","58837","Full-back",1
"Roman Hubník","Czech Republic","Defender",1984-06-06,32,28,NA,2009-06-05,"Czech Republic 1-0 Malta","Jablonec nad Nisou",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Plzeň","CZE",191,86,"59130","58837","",3
"Tomáš Sivok","Czech Republic","Defender",1983-09-15,32,57,NA,2005-09-03,"Romania 2-0 Czech Republic","Constanta",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Bursaspor","TUR",185,77,"53592","58837","Central defender",5
"David Limberský","Czech Republic","Defender",1983-10-06,32,40,NA,2009-06-05,"Czech Republic 1-0 Malta","Jablonec nad Nisou",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Plzeň","CZE",179,79,"98878","58837","Full-back",1
"Marek Suchý","Czech Republic","Defender",1988-03-29,28,27,NA,2010-10-08,"Czech Republic 1-0 Scotland","Prague",2016-06-05,"Czech Republic 1-2 Korea Republic","Prague","Basel","SUI",184,84,"96847","58837","Central defender",1
"Bořek Dočkal","Czech Republic","Midfield",1988-09-30,27,24,NA,2012-11-14,"Czech Republic 3-0 Slovakia",NA,2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Sparta Praha","CZE",182,72,"98910","58837","Winger",6
"Tomáš Rosický","Czech Republic","Midfield",1980-10-04,35,105,NA,2000-02-23,"Republic of Ireland 3-2 Czech Republic","Dublin",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Arsenal","ENG",178,65,"33466","58837","Attacking midfielder",23
"Daniel Pudil","Czech Republic","Midfield",1985-09-27,30,32,NA,2007-02-07,"Belgium 0-2 Czech Republic","Genk",2016-06-05,"Czech Republic 1-2 Korea Republic","Prague","Sheff. Wednesday","ENG",185,81,"93549","58837","Winger",2
"Jaroslav Plašil","Czech Republic","Midfield",1982-01-05,34,102,NA,2004-03-31,"Republic of Ireland 2-1 Czech Republic","Dublin",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Bordeaux","FRA",182,72,"49043","58837","Central midfielder",7
"Daniel Kolář","Czech Republic","Midfield",1985-10-27,30,28,NA,2009-06-05,"Czech Republic 1-0 Malta","Jablonec nad Nisou",2016-06-01,"Czech Republic 2-1 Russia","Innsbruck","Plzeň","CZE",180,77,"103600","58837","Attacking midfielder",2
"David Pavelka","Czech Republic","Midfield",1991-05-18,25,9,NA,2015-09-03,"Czech Republic 2-1 Kazakhstan","Plzen",2016-06-13,"Spain 1-0 Czech Republic","Toulouse","Kasımpaşa","TUR",185,74,"250022366","58837","Defensive midfielder",0
"Josef Šural","Czech Republic","Midfield",1990-05-30,26,13,NA,2013-11-15,"Czech Republic 2-0 Canada","Olomouc",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Sparta Praha","CZE",184,81,"107314","58837","Winger",1
"Ladislav Krejčí","Czech Republic","Midfield",1992-07-05,23,25,NA,2012-11-14,"Czech Republic 3-0 Slovakia",NA,2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Sparta Praha","CZE",180,67,"250014601","58837","Winger",4
"Jiří Skalák","Czech Republic","Midfield",1992-03-12,24,11,NA,2015-09-03,"Czech Republic 2-1 Kazakhstan","Plzen",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Brighton","ENG",177,76,"250004180","58837","Winger",0
"Vladimír Darida","Czech Republic","Midfield",1990-08-08,25,38,NA,2012-05-26,"Czech Republic 2-1 Israel",NA,2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Hertha","GER",171,74,"250040527","58837","Defensive midfielder",1
"Tomáš Necid","Czech Republic","Forward",1989-08-13,26,41,NA,2008-11-19,"San Marino 0-3 Czech Republic","Serravalle",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Bursaspor","TUR",190,81,"102312","58837","Forward",12
"Milan Škoda","Czech Republic","Forward",1986-01-16,30,10,NA,2015-06-12,"Iceland 2-1 Czech Republic","Reykjavik",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Slavia Praha","CZE",190,86,"1908451","58837","Forward",4
"David Lafata","Czech Republic","Forward",1981-09-18,34,41,NA,2006-09-02,"Czech Republic 2-1 Wales","Teplice",2016-06-17,"Czech Republic 2-2 Croatia","Saint-Etienne","Sparta Praha","CZE",180,72,"52596","58837","Forward",9
"Volkan Babacan","Turkey","Goalkeeper",1988-08-11,27,19,13,2014-10-13,"Latvia 1-1 Turkey","Riga",2016-06-17,"Spain 3-0 Turkey","Nice","İstanbul Başakşehir","TUR",192,86,"93024","135","Goalkeeper",NA
"Onur Kıvrak","Turkey","Goalkeeper",1988-01-01,28,12,14,2010-05-26,"Turkey 2-0 Northern Ireland","New Britain",2014-09-09,"Iceland 3-0 Turkey","Reykjavik","Trabzonspor","TUR",187,74,"98801","135","Goalkeeper",NA
"Harun Tekin","Turkey","Goalkeeper",1989-06-17,27,0,0,NA,NA,NA,NA,NA,NA,"Bursaspor","TUR",187,78,"250020659","135","Goalkeeper",NA
"Semih Kaya","Turkey","Defender",1991-02-24,25,23,NA,2012-02-29,"Turkey 1-2 Slovakia",NA,2015-06-12,"Kazakhstan 0-1 Turkey","Almaty","Galatasaray","TUR",183,66,"107285","135","Central defender",0
"Hakan Balta","Turkey","Defender",1983-03-23,33,48,NA,2006-04-12,"Azerbaijan 1-1 Turkey","Baku",2016-06-17,"Spain 3-0 Turkey","Nice","Galatasaray","TUR",184,80,"61752","135","Central defender",2
"Ahmet Çalık","Turkey","Defender",1994-02-26,22,4,NA,2015-11-17,"Turkey 0-0 Greece",NA,2016-05-29,"Turkey 1-0 Montenegro","Antalya","Gençlerbirliği","TUR",184,77,"250022825","135","Central defender",0
"Gökhan Gönül","Turkey","Defender",1985-01-04,31,59,NA,2007-11-17,"Norway 1-2 Turkey","Oslo",2016-06-17,"Spain 3-0 Turkey","Nice","Fenerbahçe","TUR",174,73,"1905190","135","Full-back",1
"İsmail Köybaşı","Turkey","Defender",1989-07-10,26,19,NA,2009-08-12,"Ukraine 0-3 Turkey","Kyiv",2016-06-05,"Slovenia 0-1 Turkey","Ljubljana","Beşiktaş","TUR",177,75,"250007352","135","Full-back",0
"Caner Erkin","Turkey","Defender",1988-10-04,27,49,NA,2006-05-26,"Turkey 1-1 Ghana",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Fenerbahçe","TUR",181,76,"98804","135","Full-back",2
"Şener Özbayraklı","Turkey","Defender",1990-01-23,26,8,NA,2015-03-31,"Luxembourg 1-2 Turkey",NA,2016-05-29,"Turkey 1-0 Montenegro","Antalya","Fenerbahçe","TUR",171,71,"250061150","135","Full-back",0
"Nuri Şahin","Turkey","Midfield",1988-09-05,27,50,NA,2005-10-08,"Turkey 2-1 Germany","Istanbul",2016-06-17,"Spain 3-0 Turkey","Nice","Dortmund","GER",179,65,"97859","135","Central midfielder",2
"Hakan Çalhanoğlu","Turkey","Midfield",1994-02-08,22,21,NA,2013-09-06,"Turkey 5-0 Andorra","Kayseri",2016-06-17,"Spain 3-0 Turkey","Nice","Leverkusen","GER",176,76,"250022829","135","Attacking midfielder",6
"Selçuk İnan","Turkey","Midfield",1985-02-10,31,54,NA,2007-10-13,"Moldova 1-1 Turkey","Chisinau",2016-06-17,"Spain 3-0 Turkey","Nice","Galatasaray","TUR",182,74,"62307","135","Central midfielder",8
"Arda Turan","Turkey","Midfield",1987-01-30,29,93,NA,2006-08-16,"Luxembourg 0-1 Turkey","Luxembourg",2016-06-17,"Spain 3-0 Turkey","Nice","Barcelona","ESP",178,76,"74850","135","Attacking midfielder",17
"Olcay Şahan","Turkey","Midfield",1987-05-26,29,25,NA,2013-03-22,"Andorra 0-2 Turkey","Andorra la Vella",2016-06-17,"Spain 3-0 Turkey","Nice","Beşiktaş","TUR",179,71,"250035057","135","Winger",2
"Oğuzhan Özyakup","Turkey","Midfield",1992-09-23,23,22,NA,2013-05-28,"Turkey 3-3 Latvia","Duisburg",2016-06-17,"Spain 3-0 Turkey","Nice","Beşiktaş","TUR",180,75,"1909099","135","Central midfielder",1
"Mehmet Topal","Turkey","Midfield",1986-03-03,30,61,NA,2008-02-06,"Turkey 0-0 Sweden","Istanbul",2016-06-17,"Spain 3-0 Turkey","Nice","Fenerbahçe","TUR",187,82,"106557","135","Defensive midfielder",1
"Ozan Tufan","Turkey","Midfield",1995-03-23,21,26,NA,2014-05-25,"Republic of Ireland 1-2 Turkey","Dublin",2016-06-17,"Spain 3-0 Turkey","Nice","Fenerbahçe","TUR",179,70,"250053203","135","Defensive midfielder",1
"Yunus Mallı","Turkey","Midfield",1992-02-24,24,7,NA,2015-11-13,"Qatar 1-2 Turkey",NA,2016-06-17,"Spain 3-0 Turkey","Nice","Mainz","GER",179,70,"250007621","135","Attacking midfielder",0
"Volkan Şen","Turkey","Midfield",1987-07-07,28,18,NA,2010-03-03,"Turkey 2-0 Honduras",NA,2016-06-12,"Turkey 0-1 Croatia","Paris","Fenerbahçe","TUR",175,68,"1909668","135","Winger",0
"Cenk Tosun","Turkey","Forward",1991-06-07,25,10,NA,2013-10-15,"Turkey 0-2 Netherlands","Istanbul",2016-06-12,"Turkey 0-1 Croatia","Paris","Beşiktaş","TUR",183,78,"1908297","135","Forward",3
"Burak Yılmaz","Turkey","Forward",1985-07-15,30,46,NA,2006-04-12,"Azerbaijan 1-1 Turkey","Baku",2016-06-17,"Spain 3-0 Turkey","Nice","Beijing Guoan","CHN",188,77,"62309","135","Forward",20
"Emre Mor","Turkey","Forward",1997-07-24,18,3,NA,2016-05-29,"Turkey 1-0 Montenegro","Antalya",2016-06-12,"Turkey 0-1 Croatia","Paris","Nordsjælland","DEN",168,63,"250065455","135","Forward",0
"Gianluigi Buffon","Italy","Goalkeeper",1978-01-28,38,158,103,1997-10-29,"Russia 1-1 Italy",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",192,91,"21307","66","Goalkeeper",NA
"Salvatore Sirigu","Italy","Goalkeeper",1987-01-12,29,16,12,2010-08-10,"Italy 0-1 Ivory Coast","London",2016-06-06,"Italy 2-0 Finland","Udine","Paris","FRA",192,80,"106737","66","Goalkeeper",NA
"Federico Marchetti","Italy","Goalkeeper",1983-02-07,33,11,11,2009-06-06,"Italy 3-0 Northern Ireland",NA,2013-10-15,"Italy 2-2 Armenia","Naples","Lazio","ITA",188,73,"65304","66","Goalkeeper",NA
"Mattia De Sciglio","Italy","Defender",1992-10-20,23,23,NA,2013-03-21,"Italy 2-2 Brazil","Geneva",2016-06-13,"Belgium 0-2 Italy","Lyon","Milan","ITA",183,74,"250024083","66","Full-back",0
"Giorgio Chiellini","Italy","Defender",1984-08-14,31,86,NA,2004-11-17,"Italy 1-0 Finland","Messina",2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",187,86,"59142","66","Central defender",6
"Matteo Darmian","Italy","Defender",1989-12-02,26,23,NA,2014-05-31,"Italy 0-0 Republic of Ireland","London",2016-06-13,"Belgium 0-2 Italy","Lyon","Man. United","ENG",182,70,"103806","66","Full-back",1
"Angelo Ogbonna","Italy","Defender",1988-05-23,28,11,NA,2011-11-11,"Poland 0-2 Italy","Wroclaw",2016-06-06,"Italy 2-0 Finland","Udine","West Ham","ENG",191,86,"250013734","66","Central defender",0
"Andrea Barzagli","Italy","Defender",1981-05-08,35,58,NA,2004-11-17,"Italy 1-0 Finland","Messina",2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",187,87,"74055","66","Central defender",0
"Leonardo Bonucci","Italy","Defender",1987-05-01,29,59,NA,2010-03-03,"Italy 0-0 Cameroon",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",190,86,"250017925","66","Central defender",3
"Antonio Candreva","Italy","Midfield",1987-02-28,29,40,NA,2009-11-14,"Italy 0-0 Netherlands","Pescara",2016-06-17,"Italy 1-0 Sweden","Toulouse","Lazio","ITA",180,70,"103275","66","Winger",4
"Alessandro Florenzi","Italy","Midfield",1991-03-11,25,18,NA,2012-11-14,"Italy 1-2 France",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Roma","ITA",173,67,"250026962","66","Full-back",2
"Thiago Motta","Italy","Midfield",1982-08-28,33,28,NA,2011-02-09,"Germany 1-1 Italy","Dortmund",2016-06-17,"Italy 1-0 Sweden","Toulouse","Paris","FRA",183,82,"56451","66","Defensive midfielder",1
"Stefano Sturaro","Italy","Midfield",1993-03-09,23,2,NA,2016-06-06,"Italy 2-0 Finland","Udine",2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",178,78,"250014297","66","Central midfielder",0
"Daniele De Rossi","Italy","Midfield",1983-07-24,32,105,NA,2004-09-04,"Italy 2-1 Norway","Palermo",2016-06-17,"Italy 1-0 Sweden","Toulouse","Roma","ITA",184,83,"58656","66","Defensive midfielder",18
"Marco Parolo","Italy","Midfield",1985-01-25,31,22,NA,2011-03-29,"Ukraine 0-2 Italy","Kyiv",2016-06-17,"Italy 1-0 Sweden","Toulouse","Lazio","ITA",184,75,"250025336","66","Central midfielder",0
"Federico Bernardeschi","Italy","Midfield",1994-02-16,22,4,NA,2016-03-24,"Italy 1-1 Spain","Udine",2016-06-06,"Italy 2-0 Finland","Udine","Fiorentina","ITA",183,75,"250061597","66","Attacking midfielder",0
"Emanuele Giaccherini","Italy","Midfield",1985-05-05,31,27,NA,2012-06-10,"Spain 1-1 Italy","Gdansk",2016-06-17,"Italy 1-0 Sweden","Toulouse","Bologna","ITA",167,60,"250025337","66","Winger",4
"Simone Zaza","Italy","Forward",1991-06-25,24,12,NA,2014-09-04,"Italy 2-0 Netherlands",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","Juventus","ITA",186,83,"250020649","66","Forward",1
"Graziano Pellè","Italy","Forward",1985-07-15,30,15,NA,2014-10-13,"Malta 0-1 Italy","Ta' Qali",2016-06-17,"Italy 1-0 Sweden","Toulouse","Southampton","ENG",194,84,"103165","66","Forward",6
"Ciro Immobile","Italy","Forward",1990-02-20,26,14,NA,2014-03-05,"Spain 1-0 Italy","Madrid",2016-06-13,"Belgium 0-2 Italy","Lyon","Torino","ITA",185,78,"250005254","66","Forward",1
"Éder","Italy","Forward",1986-11-15,29,12,NA,2015-03-28,"Bulgaria 2-2 Italy","Sofia",2016-06-17,"Italy 1-0 Sweden","Toulouse","Internazionale","ITA",179,72,"1906181","66","Forward",3
"Lorenzo Insigne","Italy","Forward",1991-06-04,25,9,NA,2012-09-11,"Italy 2-0 Malta","Modena",2016-05-29,"Italy 1-0 Scotland","Ta' Qali","Napoli","ITA",163,59,"250026037","66","Forward",2
"Stephan El Shaarawy","Italy","Forward",1992-10-27,23,19,NA,2012-08-15,"England 2-1 Italy",NA,2016-06-06,"Italy 2-0 Finland","Udine","Roma","ITA",178,72,"250006202","66","Winger",3
"Thibaut Courtois","Belgium","Goalkeeper",1992-05-11,24,39,27,2011-11-15,"France 0-0 Belgium","Saint-Denis",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Chelsea","ENG",199,91,"250011668","13","Goalkeeper",NA
"Simon Mignolet","Belgium","Goalkeeper",1988-08-06,27,17,21,2011-03-25,"Austria 0-2 Belgium","Vienna",2015-11-13,"Belgium 3-1 Italy",NA,"Liverpool","ENG",193,87,"98078","13","Goalkeeper",NA
"Jean-François Gillet","Belgium","Goalkeeper",1979-05-31,37,9,11,2009-09-05,"Spain 5-0 Belgium","La Coruna",2013-02-06,"Belgium 2-1 Slovakia","Bruges","Mechelen","BEL",181,82,"24525","13","Goalkeeper",NA
"Toby Alderweireld","Belgium","Defender",1989-03-02,27,57,NA,2009-05-29,"Belgium 1-1 Chile","Chiba",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Tottenham","ENG",186,81,"103333","13","Central defender",1
"Thomas Vermaelen","Belgium","Defender",1985-11-14,30,55,NA,2006-03-01,"Luxembourg 0-2 Belgium","Luxembourg",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Barcelona","ESP",183,80,"71982","13","Central defender",1
"Jan Vertonghen","Belgium","Defender",1987-04-24,29,80,NA,2007-06-02,"Belgium 1-2 Portugal","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Tottenham","ENG",189,79,"103704","13","Central defender",6
"Jason Denayer","Belgium","Defender",1995-06-28,20,7,NA,2015-03-31,"Israel 0-1 Belgium","Jerusalem",2016-06-05,"Belgium 3-2 Norway","Brussels","Galatasaray","TUR",184,70,"250064362","13","Central defender",0
"Thomas Meunier","Belgium","Defender",1991-09-12,24,6,NA,2013-11-14,"Belgium 0-2 Colombia","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Club Brugge","BEL",190,78,"250029318","13","Full-back",0
"Christian Kabasele","Belgium","Defender",1991-02-24,25,0,NA,NA,NA,NA,NA,NA,NA,"Genk","BEL",186,84,"250014608","13","Central defender",0
"Jordan Lukaku","Belgium","Defender",1994-07-25,21,4,NA,2015-10-10,"Andorra 1-4 Belgium","Andorra la Vella",2016-06-05,"Belgium 3-2 Norway","Brussels","Oostende","BEL",186,83,"250039742","13","Full-back",0
"Laurent Ciman","Belgium","Defender",1985-08-05,30,12,NA,2010-05-19,"Belgium 2-1 Bulgaria","Brussels",2016-06-13,"Belgium 0-2 Italy","Lyon","Montreal","CAN",184,70,"97598","13","Central defender",1
"Radja Nainggolan","Belgium","Midfield",1988-05-04,28,21,NA,2009-05-29,"Belgium 1-1 Chile","Chiba",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Roma","ITA",176,65,"1906233","13","Defensive midfielder",4
"Axel Witsel","Belgium","Midfield",1989-01-12,27,70,NA,2008-03-26,"Belgium 1-4 Morocco","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Zenit","RUS",186,73,"103335","13","Defensive midfielder",7
"Kevin De Bruyne","Belgium","Midfield",1991-06-28,24,43,NA,2010-08-11,"Finland 1-0 Belgium","Turku",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Man. City","ENG",181,68,"250008901","13","Attacking midfielder",13
"Marouane Fellaini","Belgium","Midfield",1987-11-22,28,71,NA,2007-02-07,"Belgium 0-2 Czech Republic","Genk",2016-06-13,"Belgium 0-2 Italy","Lyon","Man. United","ENG",194,85,"104237","13","Central midfielder",15
"Eden Hazard","Belgium","Midfield",1991-01-07,25,67,NA,2008-11-19,"Luxembourg 1-1 Belgium","Luxembourg",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Chelsea","ENG",173,74,"1902160","13","Winger",13
"Yannick Carrasco","Belgium","Midfield",1993-09-04,22,6,NA,2015-03-28,"Belgium 5-0 Cyprus","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Atlético","ESP",180,67,"250040959","13","Winger",0
"Mousa Dembélé","Belgium","Midfield",1987-07-16,28,65,NA,2006-05-20,"Slovakia 1-1 Belgium","Trnava",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Tottenham","ENG",185,82,"74692","13","Central midfielder",5
"Romelu Lukaku","Belgium","Forward",1993-05-13,23,47,NA,2010-05-19,"Belgium 2-1 Bulgaria","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Everton","ENG",190,93,"250010802","13","Forward",17
"Dries Mertens","Belgium","Forward",1987-05-06,29,48,NA,2011-02-09,"Belgium 1-1 Finland",NA,2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Napoli","ITA",169,61,"250019924","13","Winger",8
"Divock Origi","Belgium","Forward",1995-04-18,21,21,NA,2014-05-26,"Belgium 5-1 Luxembourg","Genk",2016-06-13,"Belgium 0-2 Italy","Lyon","Liverpool","ENG",185,75,"250042610","13","Forward",3
"Christian Benteke","Belgium","Forward",1990-12-03,25,28,NA,2010-05-19,"Belgium 2-1 Bulgaria","Brussels",2016-06-18,"Belgium 3-0 Republic of Ireland","Bordeaux","Liverpool","ENG",190,83,"1902165","13","Forward",7
"Michy Batshuayi","Belgium","Forward",1993-10-02,22,5,NA,2015-03-28,"Belgium 5-0 Cyprus","Brussels",2016-06-01,"Belgium 1-1 Finland","Brussels","Marseille","FRA",185,78,"250038932","13","Forward",2
"Andreas Isaksson","Sweden","Goalkeeper",1981-10-03,34,132,127,2002-03-27,"Sweden 1-1 Switzerland","Malmo",2016-06-17,"Italy 1-0 Sweden","Toulouse","Kasımpaşa","TUR",200,86,"42647","127","Goalkeeper",NA
"Robin Olsen","Sweden","Goalkeeper",1990-01-08,26,4,3,2015-01-15,"Sweden 2-0 Ivory Coast",NA,2016-06-05,"Sweden 3-0 Wales","Solna","København","DEN",198,89,"250049713","127","Goalkeeper",NA
"Patrik Carlgren","Sweden","Goalkeeper",1992-01-08,24,0,0,NA,NA,NA,NA,NA,NA,"AIK","SWE",188,84,"250064454","127","Goalkeeper",NA
"Mikael Lustig","Sweden","Defender",1986-12-13,29,53,NA,2008-01-19,"USA 2-0 Sweden","Los Angeles",2016-06-13,"Republic of Ireland 1-1 Sweden","Saint-Denis","Celtic","SCO",189,78,"97687","127","Full-back",3
"Erik Johansson","Sweden","Defender",1988-12-30,27,10,NA,2014-01-21,"Iceland 0-2 Sweden",NA,2016-06-17,"Italy 1-0 Sweden","Toulouse","København","DEN",191,84,"250059469","127","Central defender",0
"Andreas Granqvist","Sweden","Defender",1985-04-16,31,54,NA,2006-01-23,"Jordan 0-0 Sweden","Abu Dhabi",2016-06-17,"Italy 1-0 Sweden","Toulouse","Krasnodar","RUS",192,84,"95669","127","Central defender",3
"Martin Olsson","Sweden","Defender",1988-05-17,28,36,NA,2010-05-29,"Sweden 4-2 Bosnia and Herzegovina","Solna",2016-06-17,"Italy 1-0 Sweden","Toulouse","Norwich","ENG",170,81,"108226","127","Full-back",5
"Pontus Jansson","Sweden","Defender",1991-02-13,25,6,NA,2012-01-18,"Bahrain 0-2 Sweden",NA,2016-05-30,"Sweden 0-0 Slovenia","Malmo","Torino","ITA",194,89,"1908319","127","Central defender",0
"Victor Lindelöf","Sweden","Defender",1994-07-17,21,5,NA,2016-03-24,"Turkey 2-1 Sweden","Antalya",2016-06-17,"Italy 1-0 Sweden","Toulouse","Benfica","POR",187,80,"250055905","127","Central defender",0
