"jersey_no","name","tm_id","tm_position","date_of_birth","age","tm_team_id","tm_team","foot","tm_value","tm_currency","height","debut","country"
"19","Ross Barkley","131978","Attacking Midfield",1993-12-05,22,"29","Everton FC","right",22000000,"€  ",189,2013-09-06,"England"
"8","Adam Lallana","43530","Attacking Midfield",1988-05-10,28,"31","Liverpool FC","both",19000000,"€  ",172,2013-11-15,"England"
"7","Raheem Sterling","134425","Left Wing",1994-12-08,21,"281","Manchester City","right",45000000,"€  ",170,2012-11-14,"England"
"10","Wayne Rooney","3332","Secondary Striker",1985-10-24,30,"985","Manchester United","right",35000000,"€  ",176,2003-02-12,"England"
"9","Harry Kane","132098","Centre Forward",1993-07-28,22,"148","Tottenham Hotspur","right",40000000,"€  ",188,2015-03-27,"England"
"15","Daniel Sturridge","47082","Centre Forward",1989-09-01,26,"31","Liverpool FC","left",25000000,"€  ",188,2011-11-15,"England"
"11","Jamie Vardy","197838","Centre Forward",1987-01-11,29,"1003","Leicester City","right",18000000,"€  ",178,2015-06-07,"England"
"22","Marcus Rashford","258923","Centre Forward",1997-10-31,18,"985","Manchester United","right",6000000,"€  ",180,2016-05-27,"England"
"1","Thibaut Courtois","108390","Keeper",1992-05-11,24,"631","Chelsea FC","left",35000000,"€  ",199,2011-11-15,"Belgium"
"12","Simon Mignolet","50219","Keeper",1988-03-06,28,"31","Liverpool FC","right",12000000,"€  ",193,2011-03-25,"Belgium"
"13","Jean-François Gillet","22149","Keeper",1979-05-31,37,"354","KV Mechelen","right",500000,"€  ",181,2009-09-05,"Belgium"
"2","Toby Alderweireld","42710","Centre Back",1989-03-02,27,"148","Tottenham Hotspur","right",27000000,"€  ",186,2009-05-29,"Belgium"
"5","Jan Vertonghen","43250","Centre Back",1987-04-24,29,"148","Tottenham Hotspur","left",23000000,"€  ",189,2007-06-21,"Belgium"
"18","Christian Kabasele","81512","Centre Back",1991-02-24,25,"1184","KRC Genk","right",6000000,"€  ",187,NA,"Belgium"
"15","Jason Denayer","277114","Centre Back",1995-06-28,20,"141","Galatasaray SK","right",4000000,"€  ",184,2015-03-31,"Belgium"
"3","Thomas Vermaelen","15904","Centre Back",1985-11-14,30,"131","FC Barcelona","left",3000000,"€  ",183,2006-03-01,"Belgium"
"23","Laurent Ciman","22338","Centre Back",1985-08-05,30,"4078","Montreal Impact","right",2500000,"€  ",184,2010-05-19,"Belgium"
"21","Jordan Lukaku","140804","Left-Back",1994-07-25,21,"2861","KV Oostende","left",4000000,"€  ",183,2015-10-10,"Belgium"
"16","Thomas Meunier","100986","Right-Back",1991-09-12,24,"2282","Club Brugge KV","right",6000000,"€  ",190,2013-11-14,"Belgium"
"4","Radja Nainggolan","41982","Central Midfield",1988-05-04,28,"12","AS Roma","right",30000000,"€  ",175,2009-05-29,"Belgium"
"6","Axel Witsel","35047","Central Midfield",1989-01-12,27,"964","Zenit St. Petersburg","right",23000000,"€  ",186,2008-03-26,"Belgium"
"19","Mousa Dembélé","19368","Central Midfield",1987-07-16,28,"148","Tottenham Hotspur","left",18000000,"€  ",185,2006-10-11,"Belgium"
"8","Marouane Fellaini","39679","Central Midfield",1987-11-22,28,"985","Manchester United","right",15000000,"€  ",194,2007-02-07,"Belgium"
"7","Kevin De Bruyne","88755","Attacking Midfield",1991-06-28,24,"281","Manchester City","right",60000000,"€  ",181,2010-08-11,"Belgium"
"10","Eden Hazard","50202","Left Wing",1991-01-07,25,"631","Chelsea FC","both",65000000,"€  ",173,2008-11-19,"Belgium"
"11","Yannick Carrasco","140776","Left Wing",1993-09-04,22,"13","Atlético Madrid","both",25000000,"€  ",180,2015-03-28,"Belgium"
"14","Dries Mertens","56416","Left Wing",1987-05-06,29,"6195","SSC Napoli","right",16000000,"€  ",169,2011-02-09,"Belgium"
"9","Romelu Lukaku","96341","Centre Forward",1993-05-13,23,"29","Everton FC","left",40000000,"€  ",191,2010-03-03,"Belgium"
"20","Christian Benteke","50201","Centre Forward",1990-12-03,25,"31","Liverpool FC","right",27000000,"€  ",191,2010-05-19,"Belgium"
"22","Michy Batshuayi","179184","Centre Forward",1993-10-02,22,"244","Olympique Marseille","both",15000000,"€  ",182,2015-03-28,"Belgium"
