"position","date_of_birth","caps","goals","club","player_url","name","club_name_detailed","club_url","country","wikidata_item","position_id","club_wikidata_item","club_wikidata_id"
"Midfield","1989-01-08",8,1,"Mainz 05","https://en.wikipedia.org/wiki/Fabian_Frei","Fabian Frei","1. FSV Mainz 05","https://en.wikipedia.org/wiki/1._FSV_Mainz_05","Switzerland","https://www.wikidata.org/wiki/Q675878",3,"https://www.wikidata.org/wiki/Q105254","Q105254"
"Forward","1992-02-22",30,7,"Eintracht Frankfurt","https://en.wikipedia.org/wiki/Haris_Seferovi%C4%87","Haris Seferović","Eintracht Frankfurt","https://en.wikipedia.org/wiki/Eintracht_Frankfurt","Switzerland","https://www.wikidata.org/wiki/Q283762",4,"https://www.wikidata.org/wiki/Q38245","Q38245"
"Midfield","1992-09-27",43,6,"Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Granit_Xhaka","Granit Xhaka","Borussia Mönchengladbach","https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach","Switzerland","https://www.wikidata.org/wiki/Q514427",3,"https://www.wikidata.org/wiki/Q101959","Q101959"
"Midfield","1985-04-19",66,2,"Watford","https://en.wikipedia.org/wiki/Valon_Behrami","Valon Behrami","Watford F.C.","https://en.wikipedia.org/wiki/Watford_F.C.","Switzerland","https://www.wikidata.org/wiki/Q217389",3,"https://www.wikidata.org/wiki/Q2714","Q2714"
"Goalkeeper","1987-09-18",2,0,"FC Augsburg","https://en.wikipedia.org/wiki/Marwin_Hitz","Marwin Hitz","FC Augsburg","https://en.wikipedia.org/wiki/FC_Augsburg","Switzerland","https://www.wikidata.org/wiki/Q691193",1,"https://www.wikidata.org/wiki/Q15755","Q15755"
"Defender","1992-08-25",37,0,"VfL Wolfsburg","https://en.wikipedia.org/wiki/Ricardo_Rodr%C3%ADguez_(footballer)","Ricardo Rodríguez","VfL Wolfsburg","https://en.wikipedia.org/wiki/VfL_Wolfsburg","Switzerland","https://www.wikidata.org/wiki/Q666506",2,"https://www.wikidata.org/wiki/Q101859","Q101859"
"Midfield","1996-11-20",2,0,"Young Boys","https://en.wikipedia.org/wiki/Denis_Zakaria","Denis Zakaria","BSC Young Boys","https://en.wikipedia.org/wiki/BSC_Young_Boys","Switzerland","https://www.wikidata.org/wiki/Q21066260",3,"https://www.wikidata.org/wiki/Q190526","Q190526"
"Midfield","1986-04-12",48,6,"Genoa","https://en.wikipedia.org/wiki/Blerim_D%C5%BEemaili","Blerim Džemaili","Genoa C.F.C.","https://en.wikipedia.org/wiki/Genoa_C.F.C.","Switzerland","https://www.wikidata.org/wiki/Q253348",3,"https://www.wikidata.org/wiki/Q2074","Q2074"
"Midfield","1986-09-02",56,2,"Rennes","https://en.wikipedia.org/wiki/G%C3%A9lson_Fernandes","Gélson Fernandes","Stade Rennais F.C.","https://en.wikipedia.org/wiki/Stade_Rennais_F.C.","Switzerland","https://www.wikidata.org/wiki/Q213095",3,"https://www.wikidata.org/wiki/Q19509","Q19509"
"Forward","1995-02-07",4,0,"Grasshopper","https://en.wikipedia.org/wiki/Shani_Tarashaj","Shani Tarashaj","Grasshopper Club Zürich","https://en.wikipedia.org/wiki/Grasshopper_Club_Z%C3%BCrich","Switzerland","https://www.wikidata.org/wiki/Q17712925",4,"https://www.wikidata.org/wiki/Q201360","Q201360"
