"team.value","capacity.value","coords.value","image.value","teamLabel.value","venueLabel.value","team_twitter.value"
"http://www.wikidata.org/entity/Q19628","33334","Point(23.664536 37.946169)","http://commons.wikimedia.org/wiki/Special:FilePath/Karaiskakis%20Stadium%20Piraeus%20Olympiacos-Arsenal.jpg","Olympiacos F.C.","Karaiskakis Stadium","olympiacos_org"
"http://www.wikidata.org/entity/Q2768","28140","Point(7.65 45.041667)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Olimpico%20Torino%20Italy.jpg","Torino Football Club","Stadio Olimpico di Torino","torinofc_1906"
"http://www.wikidata.org/entity/Q19593","60355","Point(-4.205588888 55.849711111)","http://commons.wikimedia.org/wiki/Special:FilePath/Celtic%20Park%20New.jpg","Celtic F.C.","Celtic Park",NA
"http://www.wikidata.org/entity/Q2052","47282","Point(11.282258 43.780822)","http://commons.wikimedia.org/wiki/Special:FilePath/Soccer%20in%20Florence%2C%20Italy%2C%202007.jpg","ACF Fiorentina","Stadio Artemio Franchi","violachannel"
"http://www.wikidata.org/entity/Q1457","36703","Point(8.952428 44.416431)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Luigi%20Ferraris%20da%20mura%20S.%20Bartolomeo.jpg","Unione Calcio Sampdoria","Stadio Luigi Ferraris","sampdoria"
"http://www.wikidata.org/entity/Q2074","36703","Point(8.952428 44.416431)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Luigi%20Ferraris%20da%20mura%20S.%20Bartolomeo.jpg","Genoa Cricket and Football Club","Stadio Luigi Ferraris","GenoaCFC"
"http://www.wikidata.org/entity/Q75729","50049","Point(-9.160783333 38.761194444)","http://commons.wikimedia.org/wiki/Special:FilePath/Est%C3%A1dio%20Sporting%20interior.jpg","Sporting Clube de Portugal","Estádio José Alvalade",NA
"http://www.wikidata.org/entity/Q18708","25700","Point(-0.221666666 51.475)","http://commons.wikimedia.org/wiki/Special:FilePath/Craven%20Cottage%20Football%20Ground%20-%20geograph.org.uk%20-%20778731.jpg","Fulham F.C.","Craven Cottage",NA
"http://www.wikidata.org/entity/Q18747","35016","Point(0.039444444 51.531944444)","http://commons.wikimedia.org/wiki/Special:FilePath/Boleyn%20Ground%20Upton%20Park%201.jpg","West Ham United F.C.","Boleyn Ground","whufc_official"
"http://www.wikidata.org/entity/Q18747","35333","Point(0.039444444 51.531944444)","http://commons.wikimedia.org/wiki/Special:FilePath/Boleyn%20Ground%20Upton%20Park%201.jpg","West Ham United F.C.","Boleyn Ground","whufc_official"
"http://www.wikidata.org/entity/Q19500","30852","Point(-2.130277777 52.590277777)","http://commons.wikimedia.org/wiki/Special:FilePath/Molineux%20Ground%2C%20Wolverhampton.jpg","Wolverhampton Wanderers F.C.","Molineux Stadium",NA
"http://www.wikidata.org/entity/Q18750","25133","Point(-2.653889 53.547778)","http://commons.wikimedia.org/wiki/Special:FilePath/Warm%20up%20at%20the%20DW%20Stadium%2C%20Wigan%20-%20geograph.org.uk%20-%202012508.jpg","Wigan Athletic F.C.","DW Stadium","laticsofficial"
"http://www.wikidata.org/entity/Q18736","27740","Point(-2.175555555 52.988333333)","http://commons.wikimedia.org/wiki/Special:FilePath/Britannia%20Stadium%201.JPG","Stoke City F.C.","Britannia Stadium",NA
"http://www.wikidata.org/entity/Q18732","32589","Point(-1.391111111 50.905833333)","http://commons.wikimedia.org/wiki/Special:FilePath/StMary%27sStadium-1.jpg","Southampton F.C.","St Mary's Stadium","SouthamptonFC"
"http://www.wikidata.org/entity/Q18659","20750","Point(-3.9351 51.6422)","http://commons.wikimedia.org/wiki/Special:FilePath/New%20Morfa%20Stadium%20-%20geograph.org.uk%20-%2032243.jpg","Swansea City A.F.C.","Liberty Stadium",NA
"http://www.wikidata.org/entity/Q19490","30602","Point(-1.132778 52.94)","http://commons.wikimedia.org/wiki/Special:FilePath/The%20City%20Ground%2C%20Nottingham.jpg","Nottingham Forest F.C.","City Ground",NA
"http://www.wikidata.org/entity/Q29115","30075","Point(37.741169 55.80355)","http://commons.wikimedia.org/wiki/Special:FilePath/Lokomotiv-stadium.jpg","FC Lokomotiv Moscow","Lokomotiv Stadium",NA
"http://www.wikidata.org/entity/Q48941","5327","Point(-3.024728 53.916508)","http://commons.wikimedia.org/wiki/Special:FilePath/FTFC01.jpg","Fleetwood Town F.C.","Highbury Stadium",NA
"http://www.wikidata.org/entity/Q19568","12000","Point(-1.838333 50.735278)","http://commons.wikimedia.org/wiki/Special:FilePath/Deancourt%2014092013%20vblackpool.jpg","A.F.C. Bournemouth","Dean Court",NA
"http://www.wikidata.org/entity/Q48943","11582","Point(0.560753 51.38425)","http://commons.wikimedia.org/wiki/Special:FilePath/Priestfield%20Stadium%20Medway%20Stand.jpg","Gillingham F.C.","Priestfield Stadium",NA
"http://www.wikidata.org/entity/Q19453","30750","Point(-0.083277777 50.861822222)","http://commons.wikimedia.org/wiki/Special:FilePath/Falmer%20Stadium%20-%20night.jpg","Brighton & Hove Albion F.C.","Falmer Stadium",NA
"http://www.wikidata.org/entity/Q9653","30311","Point(1.144830555 52.055061111)","http://commons.wikimedia.org/wiki/Special:FilePath/Cobbold%20Stand%2C%20Ipswich%20Town%20Football%20Club%208418.jpg","Ipswich Town F.C.","Portman Road",NA
"http://www.wikidata.org/entity/Q19481","32262","Point(-1.142222222 52.620277777)","http://commons.wikimedia.org/wiki/Special:FilePath/WalkerStadium.jpg","Leicester City F.C.","King Power Stadium",NA
"http://www.wikidata.org/entity/Q19477","25400","Point(-0.367777777 53.746111111)","http://commons.wikimedia.org/wiki/Special:FilePath/KC%20Stadium%20in%20day.jpg","Hull City A.F.C.","KC Stadium",NA
"http://www.wikidata.org/entity/Q2798","30642","Point(13.200136 46.081603)","http://commons.wikimedia.org/wiki/Special:FilePath/Stadio%20Friuli.JPG","Moñitos clup","Stadio Friuli","Udinese_1896"
"http://www.wikidata.org/entity/Q17497","18636","Point(37.45416667 55.88527778)","http://commons.wikimedia.org/wiki/Special:FilePath/16.09.2012%20%D0%A6%D0%A1%D0%9A%D0%90-%D0%90%D0%9B%D0%90%D0%9D%D0%98%D0%AF.JPG","FC Dynamo Moscow","Arena Khimki","FCDM_official"
